Experiment,Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
24,LightGBM,118.87454211131367,136.38722964044388,0.6525585478669754,0.3196146015065827,1.1473207569769766
25,Linear Regression,4.198880740099996e-13,153.97699558225085,1.0,0.4369793756534788,366709618855676.06
25,Ridge,0.00013311926423278657,153.9770162775234,0.9999999999996915,0.4369792243079351,1156684.7004822888
25,Lasso,15.087985559564604,54.33484040543477,0.9960365025948043,0.929891703798967,3.601199125683861
25,Random Forest,73.83664040219143,164.68678238417746,0.9050795224504578,0.35593439041959263,2.2304208518578488
25,XGBoost,28.74955604021128,185.57169253542486,0.9854828087384853,0.18222076470241566,6.454767241479152
25,LightGBM,122.92419322295422,168.73363343684085,0.7346035882816186,0.32389221230276555,1.3726641518874936
26,Linear Regression,3.981702963969077e-13,189.54326953833402,1.0,0.23932297609217767,476035684363033.94
26,Ridge,0.00012143542298780263,189.5432751163306,0.9999999999996234,0.23932293132082916,1560856.5478902226
26,Lasso,25.809253381730684,45.94619696804221,0.9829874955139961,0.9553025545250282,1.7802218564201335
26,Random Forest,62.45220368209392,205.21322525016697,0.9003877144193194,0.10835032565206515,3.285924485463833
26,XGBoost,105.82829234105665,197.21341693492246,0.7154411968005886,0.17651350970125734,1.8635226230369066
26,LightGBM,93.26907215639463,199.505548008756,0.7789737976546368,0.1572601744013694,2.1390321935895624
27,Linear Regression,2.730437204105582e-13,122.55880986919766,1.0,0.6496302449322111,448861485204325.1
27,Ridge,0.00011604733496222442,122.55885078122424,0.9999999999995619,0.6496300110144839,1056110.8604615473
27,Lasso,22.229202463159524,39.65053062452171,0.9839254306965771,0.9633279197062303,1.7837135943241582
27,Random Forest,52.80471226101144,182.59866246376936,0.9092938062091822,0.22226306626001713,3.457999383865439
27,XGBoost,31.50581386375575,164.19425329635385,0.9652349822982288,0.3711407614190724,5.2115540962184985
27,LightGBM,102.33632317531732,182.57897173116206,0.6332073135810532,0.222430793493962,1.7841072071582753
28,Linear Regression,3.866004995991567e-13,138.33861308545465,1.0,0.5748229914525348,357833508308679.94
28,Ridge,34.78658120091651,147.89996336605404,0.9659878111871766,0.5140192463721973,4.251638369169701
28,Lasso,24.848754716893048,43.82891317193363,0.9826451708652523,0.9573219723504275,1.7638273495507286
28,Random Forest,61.98483755970788,183.85170242836585,0.8920103785657383,0.24903750334229202,2.966075409188058
28,XGBoost,107.12170335938819,184.93212152431997,0.6205707770120705,0.2401853882444145,1.726373981413286
28,LightGBM,119.73928820605995,196.8003222803886,0.5259226778076193,0.1395323487955067,1.6435735106568692
29,Linear Regression,4.028773787240688e-13,157.91438891445938,1.0,0.32145650379453616,391966382958957.7
29,Ridge,61.399426298698096,168.0121714922526,0.9048621938187089,0.23190352159038685,2.7363801523959044
29,Lasso,27.971790707157748,48.78465700306659,0.980254640451203,0.9352409012846048,1.744066281411973
29,Random Forest,65.94437557816778,173.4999737662931,0.8902561917154515,0.18090719514085063,2.631004877142756
29,XGBoost,2.4617827224335223,177.96581667688474,0.9998373341829928,0.13819805909708316,72.29143947397678
29,LightGBM,122.05529712844287,172.9824631610757,0.6001380084474857,0.18578623946416262,1.4172466679511704
30,Linear Regression,3.0539030484272935e-13,102.41763883193201,1.0,-0.03479262349354628,335366372827962.9
30,Ridge,9.318525310105976e-05,102.41759811425042,0.999999999999666,-0.0347918006987884,1099075.1723685092
30,Lasso,9.877249406581278,41.1891657434613,0.9962479647310699,0.8326330132841537,4.170104858951591
30,Random Forest,45.59850808372588,91.08931547305454,0.9200357002083607,0.18146230816254216,1.9976380653902213
30,XGBoost,74.52039220183543,104.62764187158676,0.7833160634465268,-0.07993267107668811,1.4040135697113223
30,LightGBM,57.206338724923754,114.4352101381085,0.8723076852801512,-0.29188289657322275,2.0003938844674076
