Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score
20,Ridge,0.41616368293762207,0.00012636184692382812,9.874877634385877,8.036946362951578,0.09386163660995217
20,Lasso,0.03673219680786133,0.00019669532775878906,9.854072931598271,8.019897165977977,0.09767577610669687
20,Random Forest,0.1463761329650879,0.05367398262023926,10.006140271240247,8.261894081201238,0.06961168854066391
20,XGBoost,0.0359644889831543,0.0019176006317138672,10.259282751849657,8.352242993231453,0.02194096129358203
20,LightGBM,0.018269777297973633,0.002821683883666992,9.780367606575954,7.99295459067315,0.11112349025302792
21,Linear Regression,0.0012617111206054688,0.00034308433532714844,9.09270003880929,7.366785509495619,0.13257000373262706
21,Ridge,0.4121222496032715,0.0001270771026611328,9.16151927889242,7.413053029809142,0.11938980846337133
21,Lasso,0.027856826782226562,0.00014591217041015625,9.09278137942924,7.366838693367361,0.13255448411602244
21,Random Forest,0.14215636253356934,0.05910181999206543,12.198512220557367,9.940982667003183,-0.5612140064271853
21,XGBoost,0.18474912643432617,0.002812623977661133,9.29030466576549,7.635192334998162,0.09445795321197337
21,LightGBM,0.016376972198486328,0.0018191337585449219,9.062044547569158,7.479239265686747,0.13840912010723938
22,Linear Regression,0.0006318092346191406,0.00013756752014160156,9.7139938396505,7.791116495863142,0.12065027697041564
22,Ridge,0.4171431064605713,0.0001404285430908203,9.72246166571108,7.794343420744245,0.11911652554036067
22,Lasso,0.028263330459594727,0.00016260147094726562,9.724409906763448,7.795701726610367,0.11876345748938788
22,Random Forest,0.13697218894958496,0.08345413208007812,10.756573300729723,8.63499674297013,-0.078236094174849
22,XGBoost,0.10114645957946777,0.0032265186309814453,9.859043286502672,7.8988185692775845,0.09419329626979311
22,LightGBM,0.013323783874511719,0.0028128623962402344,10.51098545765932,8.403250757123955,-0.029562828029905175
23,Linear Regression,0.0013446807861328125,0.0004153251647949219,10.508745158307926,8.54388150713488,0.04170548283521103
23,Ridge,0.4127519130706787,0.00014400482177734375,10.508743453824945,8.543880318766217,0.04170579369945593
23,Lasso,0.02727675437927246,0.0001480579376220703,10.50863543760657,8.543805003222817,0.041725493634986455
23,Random Forest,0.1332859992980957,0.05491781234741211,11.241878474500034,9.017827596128413,-0.09666770683768733
23,XGBoost,0.2798178195953369,0.037941694259643555,10.37230748707864,8.464031066522786,0.06642750372772455
23,LightGBM,0.017679452896118164,0.003050565719604492,10.374885581466113,8.505086670480315,0.0659633568380592
24,Linear Regression,0.0006687641143798828,0.00013256072998046875,9.227072380961598,7.367731834083042,0.13495568144578807
24,Ridge,0.4045107364654541,0.00012683868408203125,9.228350070487805,7.38030623741823,0.13471609633288684
24,Lasso,0.028652429580688477,0.00019621849060058594,9.229526636583312,7.381427922785287,0.1344954439746322
24,Random Forest,0.13724803924560547,0.08580183982849121,11.458298685778521,9.162124541020123,-0.3339844929300484
24,XGBoost,0.042543649673461914,0.003205537796020508,9.567378260014083,7.631943893177139,0.06997120997426975
24,LightGBM,0.012494087219238281,0.0032427310943603516,9.716135780111207,7.667343447916774,0.040825434739826916
25,Linear Regression,0.0011932849884033203,0.00036072731018066406,10.213620766181506,8.296537366145083,0.05008582416277885
25,Ridge,0.4143798351287842,0.00013685226440429688,10.21324317945153,8.296238382640615,0.050156057504256
25,Lasso,0.027681827545166016,0.00014352798461914062,10.213616430734449,8.296534913421041,0.05008663059603846
25,Random Forest,0.13642668724060059,0.0569462776184082,15.580747440144018,12.533555267624283,-1.2105558287731655
25,XGBoost,0.04679059982299805,0.0031511783599853516,10.57189464947817,8.34847864044956,-0.017725287056853167
25,LightGBM,0.012745380401611328,0.0029838085174560547,11.393601279648328,8.969532336298954,-0.18208020971719208
26,Linear Regression,0.0013651847839355469,0.0003261566162109375,10.551642391998719,8.619320235604444,0.12325794074287877
26,Ridge,0.40822362899780273,0.00013208389282226562,10.845571236283458,8.889930225380466,0.0737321814239712
26,Lasso,0.02964305877685547,0.00015926361083984375,11.269215841950968,9.233361749460396,-4.399717890013477e-05
26,Random Forest,0.1429598331451416,0.08166074752807617,13.230512357190605,10.62867382540314,-0.3784310223438241
26,XGBoost,0.08842992782592773,0.0032689571380615234,10.79315435294581,8.797834983032002,0.08266389087778425
26,LightGBM,0.01423788070678711,0.002732992172241211,10.823579539689465,8.819221755317454,0.07748478198980258
27,Linear Regression,0.0012035369873046875,0.00033211708068847656,10.315782841137546,8.180271296394281,0.012120747289258715
27,Ridge,0.417952299118042,0.00012636184692382812,10.189746690385354,8.106108697299122,0.03611270029663016
27,Lasso,0.02780914306640625,0.0001404285430908203,10.26784328315495,8.206292066354823,0.021281167419297753
27,Random Forest,0.14992904663085938,0.08519935607910156,13.48221789111922,10.756242330067751,-0.6874160106857752
27,XGBoost,0.04278993606567383,0.0038826465606689453,11.001409605306801,8.65848916617606,-0.12355969496441532
27,LightGBM,0.008366823196411133,0.004394054412841797,10.251253802584833,8.17407566523843,0.024441192406071566
28,Linear Regression,0.00130462646484375,0.0003173351287841797,10.657281550157899,8.564035197161834,-0.012455852222910568
28,Ridge,0.41841626167297363,0.0001785755157470703,10.596022651921174,8.50008546358249,-0.0008499513659268043
28,Lasso,0.026999473571777344,0.00014638900756835938,10.595523497870467,8.499550419626983,-0.0007556581472734081
28,Random Forest,0.1581883430480957,0.056716203689575195,10.23919545951492,8.150549822560205,0.06542344233607278
28,XGBoost,0.0594477653503418,0.003226757049560547,10.599210043580472,8.624146586431936,-0.0014521736713002387
28,LightGBM,0.012172698974609375,0.002659320831298828,11.384688626316624,9.300293929339094,-0.15538182220015018
29,Linear Regression,0.0006232261657714844,0.00015163421630859375,10.707749998665783,8.547183011006785,0.0499531130404135
29,Ridge,0.3883934020996094,0.00013518333435058594,10.986175629716781,8.770021971717048,-9.595018481767248e-05
29,Lasso,0.0255277156829834,0.0001266002655029297,10.988809275383613,8.772161458012311,-0.0005755008780188309
29,Random Forest,0.12307858467102051,0.07995915412902832,11.051699174076207,8.705933293764806,-0.012061032388406057
29,XGBoost,0.07246208190917969,0.0026543140411376953,10.53931917404787,8.403886071473847,0.0796061514572366
29,LightGBM,0.011681795120239258,0.0016956329345703125,11.63556577384849,9.278849979985942,-0.12182110064674623
30,Linear Regression,0.0007336139678955078,0.0001678466796875,9.76301312434851,7.893786465456246,0.06703741504833782
30,Ridge,0.38636255264282227,0.0001246929168701172,9.796674884030107,7.868597123617297,0.06059282614097394
30,Lasso,0.02534794807434082,0.00014352798461914062,10.174544410093281,8.0813397082124,-0.013272893018338339
30,Random Forest,0.14223337173461914,0.08759593963623047,10.39704371396286,8.22256386955057,-0.058074434619053594
30,XGBoost,0.05299544334411621,0.0020771026611328125,10.689603116847309,8.515647982593563,-0.11845790458814531
30,LightGBM,0.010710000991821289,0.0016133785247802734,9.787963812714516,7.841630574828641,0.06226269980076837
